
DATE(UTC), TIME(UTC), BMPTEMP(C), BMPP(hPa), BMPALT(M), DHTT(C), DHTH(%),
23/04/2015,15:54:33,37.0,860,1355.17879666,21.8999996185,37.0999984741,
23/04/2015,15:54:50,37.1,860,1355.08378237,23.1000003815,35.0999984741,
23/04/2015,15:54:56,37.1,860,1354.5137154,23.1000003815,34.5999984741,

DATE(UTC), TIME(UTC), BMPTEMP(C), BMPP(hPa), BMPALT(M), DHTT(C), DHTH(%),
23/04/2015,16:23:40,44.3,860,1354.60872433,24.2999992371,34.4000015259,
23/04/2015,16:23:58,71.1,860,1355.74890118,24.5,41.7999992371,
23/04/2015,16:24:09,44.4,860,1353.9436806,24.5,45.5,
23/04/2015,16:24:25,44.4,860,1354.98876897,24.6000003815,50.5,
23/04/2015,16:24:31,44.5,860,1353.75367615,24.7000007629,41.9000015259,
23/04/2015,16:24:47,44.5,860,1355.36882792,24.6000003815,38.0,
23/04/2015,16:24:53,44.6,860,1355.36882792,24.7000007629,32.5,
23/04/2015,16:25:18,44.7,860,1354.70373415,24.7000007629,32.2999992371,
23/04/2015,16:25:23,44.7,860,1354.89375647,24.7000007629,31.7999992371,
23/04/2015,16:25:48,44.8,860,1354.89375647,24.7000007629,31.6000003815,
23/04/2015,16:25:53,44.8,860,1355.17879666,24.7000007629,31.5,
23/04/2015,16:26:12,44.9,860,1355.36882792,24.6000003815,31.3999996185,
23/04/2015,16:26:17,44.9,860,1354.98876897,24.6000003815,31.3999996185,
23/04/2015,16:26:34,45.0,860,1354.5137154,24.6000003815,31.2000007629,
23/04/2015,16:26:56,45.1,860,1355.93894316,24.7999992371,31.2999992371,
23/04/2015,16:27:15,45.2,860,1354.32370022,24.6000003815,31.0,
23/04/2015,16:27:21,45.2,860,1354.89375647,24.7000007629,31.1000003815,
23/04/2015,16:27:37,45.3,860,1354.70373415,24.6000003815,31.0,
23/04/2015,16:27:43,45.3,860,1354.32370022,24.7000007629,31.7999992371,
23/04/2015,16:28:07,45.4,860,1354.03868416,24.6000003815,32.0999984741,
23/04/2015,16:28:23,45.4,860,1355.08378237,24.6000003815,32.9000015259,
23/04/2015,16:28:39,45.3,860,1355.17879666,24.6000003815,33.2999992371,
23/04/2015,16:28:45,45.4,860,1355.27381185,24.7000007629,32.0,
23/04/2015,16:29:02,45.4,860,1355.36882792,24.7000007629,31.7999992371,
23/04/2015,16:29:08,45.4,860,1355.27381185,24.7999992371,32.7999992371,
23/04/2015,16:29:24,45.5,860,1354.41870736,24.7999992371,32.0,
23/04/2015,16:29:30,45.5,860,1354.41870736,24.7999992371,31.1000003815,
23/04/2015,16:29:46,45.5,860,1355.08378237,24.8999996185,32.5999984741,
23/04/2015,16:29:51,45.5,860,1355.08378237,24.8999996185,31.7000007629,
