DATE(UTC), TIME(UTC), BMPTEMP(C), BMPP(hPa), BMPALT(M), DHTT(C), DHTH(%)
23/04/2015,15:54:33,37,860,1355.178797,21.89999962,37.09999847
23/04/2015,15:54:50,37.1,860,1355.083782,23.10000038,35.09999847
23/04/2015,15:54:56,37.1,860,1354.513715,23.10000038,34.59999847
,,,,,,
DATE(UTC), TIME(UTC), BMPTEMP(C), BMPP(hPa), BMPALT(M), DHTT(C), DHTH(%)
23/04/2015,16:23:40,44.3,860,1354.608724,24.29999924,34.40000153
23/04/2015,16:23:58,71.1,860,1355.748901,24.5,41.79999924
23/04/2015,16:24:09,44.4,860,1353.943681,24.5,45.5
23/04/2015,16:24:25,44.4,860,1354.988769,24.60000038,50.5
23/04/2015,16:24:31,44.5,860,1353.753676,24.70000076,41.90000153
23/04/2015,16:24:47,44.5,860,1355.368828,24.60000038,38
23/04/2015,16:24:53,44.6,860,1355.368828,24.70000076,32.5
23/04/2015,16:25:18,44.7,860,1354.703734,24.70000076,32.29999924
23/04/2015,16:25:23,44.7,860,1354.893756,24.70000076,31.79999924
23/04/2015,16:25:48,44.8,860,1354.893756,24.70000076,31.60000038
23/04/2015,16:25:53,44.8,860,1355.178797,24.70000076,31.5
23/04/2015,16:26:12,44.9,860,1355.368828,24.60000038,31.39999962
23/04/2015,16:26:17,44.9,860,1354.988769,24.60000038,31.39999962
23/04/2015,16:26:34,45,860,1354.513715,24.60000038,31.20000076
23/04/2015,16:26:56,45.1,860,1355.938943,24.79999924,31.29999924
23/04/2015,16:27:15,45.2,860,1354.3237,24.60000038,31
23/04/2015,16:27:21,45.2,860,1354.893756,24.70000076,31.10000038
23/04/2015,16:27:37,45.3,860,1354.703734,24.60000038,31
23/04/2015,16:27:43,45.3,860,1354.3237,24.70000076,31.79999924
23/04/2015,16:28:07,45.4,860,1354.038684,24.60000038,32.09999847
23/04/2015,16:28:23,45.4,860,1355.083782,24.60000038,32.90000153
23/04/2015,16:28:39,45.3,860,1355.178797,24.60000038,33.29999924
23/04/2015,16:28:45,45.4,860,1355.273812,24.70000076,32
23/04/2015,16:29:02,45.4,860,1355.368828,24.70000076,31.79999924
23/04/2015,16:29:08,45.4,860,1355.273812,24.79999924,32.79999924
23/04/2015,16:29:24,45.5,860,1354.418707,24.79999924,32
23/04/2015,16:29:30,45.5,860,1354.418707,24.79999924,31.10000038
23/04/2015,16:29:46,45.5,860,1355.083782,24.89999962,32.59999847
23/04/2015,16:29:51,45.5,860,1355.083782,24.89999962,31.70000076
23/04/2015,16:30:29,45.7,860,1354.893756,24.89999962,31.29999924
23/04/2015,16:30:35,45.7,860,1355.083782,24.89999962,31.39999962
23/04/2015,16:30:54,45.7,860,1354.988769,24.89999962,31.60000038
23/04/2015,16:30:59,45.7,860,1354.513715,24.89999962,31.89999962
23/04/2015,16:31:16,45.8,860,1354.228694,24.89999962,31.70000076
23/04/2015,16:31:21,45.8,860,1355.273812,24.89999962,32.20000076
23/04/2015,16:31:40,45.9,860,1355.653882,24.89999962,32
23/04/2015,16:31:45,45.9,860,1355.178797,24.89999962,31.79999924
23/04/2015,16:32:02,45.9,860,1355.748901,24.89999962,31.79999924
23/04/2015,16:32:07,45.9,860,1355.748901,24.89999962,31.5
23/04/2015,16:32:35,46,860,1355.938943,24.89999962,31.5
23/04/2015,16:32:41,46,860,1356.319038,24.89999962,31.5
23/04/2015,16:32:57,46.1,860,1356.224013,24.89999962,31.5
23/04/2015,16:33:03,46.1,860,1355.178797,24.89999962,31.29999924
23/04/2015,16:33:19,46.1,860,1354.703734,24.89999962,31.29999924
23/04/2015,16:33:38,46.2,860,1355.368828,24.89999962,31.39999962
23/04/2015,16:33:55,46.2,860,1355.558863,24.89999962,31.5
23/04/2015,16:34:00,46.2,860,1356.128989,24.89999962,31.79999924
23/04/2015,16:34:17,46.3,860,1355.368828,24.89999962,31.89999962
23/04/2015,16:34:22,46.3,860,1355.748901,24.89999962,31.89999962
23/04/2015,16:34:46,46.4,860,1356.128989,24.89999962,31.89999962
23/04/2015,16:34:52,46.4,860,1355.463845,24.89999962,31.79999924
23/04/2015,16:35:11,46.4,860,1355.748901,24.89999962,31.70000076
23/04/2015,16:35:16,46.4,860,1355.938943,24.89999962,31.79999924
23/04/2015,16:35:33,46.5,860,1355.938943,24.89999962,32
23/04/2015,16:35:39,46.5,860,1356.128989,24.89999962,32.20000076
